DUID,Pickle_Site_Name,Excel_Site_Name,Pickle_Region,Excel_Region,Pickle_Owner,Excel_Owner,Pickle_Capacity_MW,Excel_Capacity_MW,Pickle_Storage_MWh,Excel_Storage_MWh,Pickle_Fuel,Excel_Fuel,Differences
ADPBA1,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,7.76,7.76,12.6,12.6,Battery Storage,Other - Other,Fuel
ADPPV1,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,11.0,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
ADPPV2,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,13.75,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
ADPPV3,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,0.02,0.02,0.0,,Solar,Solar - Solar,Fuel
ADVMH1,Adelaide Desalination Plant,Adelaide Desalination Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,1.0,1.0,0.0,,Water,Hydro - Water,Fuel
AGLHAL,Hallett GT,Hallett GT,SA1,SA1,EnergyAustralia Hallett Pty Ltd,EnergyAustralia Hallett Pty Ltd,276.86,17.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,"Capacity(MW), Fuel"
AGLSOM,Somerton,Somerton,VIC1,VIC1,AGL Hydro partnership,AGL Hydro partnership,170.0,42.5,0.0,,OCGT,Fossil - Natural Gas Pipeline,"Capacity(MW), Fuel"
ALDGASF1,Aldoga Solar Farm,Aldoga Solar Farm,QLD1,QLD1,Acciona Energy Australia Global Pty Ltd,Acciona Energy Australia Global Pty Ltd,387.01,2.47,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
ANGAST1,Angaston,Angaston,SA1,SA1,Snowy Hydro Ltd,Snowy Hydro Ltd,46.2,15.4,0.0,,Other,Fossil - Diesel,"Capacity(MW), Fuel"
APPIN,Appin,Appin,NSW1,NSW1,EDL CSM NSW Pty Ltd,EDL CSM NSW Pty Ltd,55.62,1.03,0.0,,Gas other,Fossil - Waste Coal Mine Gas,"Capacity(MW), Fuel"
ARWF1,Ararat Wind Farm,Ararat Wind Farm,VIC1,VIC1,Ararat Wind Farm Pty Ltd,Ararat Wind Farm Pty Ltd,240.0,3.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
AVLSF1,Avonlie Solar Farm,Avonlie Solar Farm,NSW1,NSW1,Iberdrola Australia Limited,Iberdrola Australia Limited,254.1,3.63,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
BAKING1,Baking Board Solar Farm Chinchilla,Baking Board Solar Farm Chinchilla,QLD1,QLD1,Chinchilla Solar Pty Ltd,Chinchilla Solar Pty Ltd,14.7,14.7,0.0,,Solar,Solar - Solar,Fuel
BALB1,Ballarat Energy Storage System,Ballarat Energy Storage System,VIC1,VIC1,Ausnet Transmission Group Pty Ltd,Ausnet Transmission Group Pty Ltd,30.0,30.0,30.0,30.0,Battery Storage,Other - Other,Fuel
BALDHWF1,Bald Hills Wind Farm,Bald Hills Wind Farm,VIC1,VIC1,Bald Hills Wind Farm Pty Ltd,Bald Hills Wind Farm Pty Ltd,106.6,2.05,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BANGOWF1,Bango 973 Wind Farm,Bango 973 Wind Farm,NSW1,NSW1,BWF Nominees Pty Ltd as trustee for the BWF Trust,BWF Nominees Pty Ltd as trustee for the BWF Trust,159.0,5.3,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BANGOWF2,Bango 999 Wind Farm,Bango 999 Wind Farm,NSW1,NSW1,BWF Nominees Pty Ltd as trustee for the BWF Trust,BWF Nominees Pty Ltd as trustee for the BWF Trust,84.8,5.3,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BANN1,Bannerton Solar Park,Bannerton Solar Park,VIC1,VIC1,Foresight Solar Australia Pty Ltd,Foresight Solar Australia Pty Ltd,100.0,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
BAPS,Banimboola,Banimboola,VIC1,VIC1,AGL Hydro Partnership,AGL Hydro Partnership,12.2,2.2,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
BARCALDN,Barcaldine Power Station,Barcaldine Power Station,QLD1,QLD1,Ergon Energy Queensland Pty Ltd,Ergon Energy Queensland Pty Ltd,37.0,37.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
BARCSF1,Barcaldine Remote Community Solar Farm,Barcaldine Remote Community Solar Farm,QLD1,QLD1,Barcaldine Remote Community Solar Farm Pty Ltd,Barcaldine Remote Community Solar Farm Pty Ltd,20.0,20.0,0.0,,Solar,Solar - Solar,Fuel
BARKIPS1,Barker Inlet Power Station,Barker Inlet Power Station,SA1,SA1,AGL Barker Inlet Pty Ltd,AGL Barker Inlet Pty Ltd,210.0,17.5,0.0,,Gas other,Fossil - Natural Gas Pipeline,"Capacity(MW), Fuel"
BARRON-1,Barron Gorge,Barron Gorge,QLD1,QLD1,CleanCo Queensland Limited,CleanCo Queensland Limited,35.0,35.0,0.0,,Water,Hydro - Water,Fuel
BARRON-2,Barron Gorge,Barron Gorge,QLD1,QLD1,CleanCo Queensland Limited,CleanCo Queensland Limited,35.0,35.0,0.0,,Water,Hydro - Water,Fuel
BASTYAN,Bastyan,Bastyan,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,79.9,79.9,0.0,,Water,Hydro - Water,Fuel
BBASEHOS,Ballarat Base Hospital Plant,Ballarat Base Hospital Plant,VIC1,VIC1,Ballarat Health Services,Ballarat Health Services,1.6,0.8,0.0,,Other,Fossil - Diesel,"Capacity(MW), Fuel"
BBATTERY1,Bouldercombe Battery project,Bouldercombe Battery project,QLD1,QLD1,Genex Power Limited,Genex Power Limited,50.0,1.25,100.0,100.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
BBTHREE1,Bell Bay Three,Bell Bay Three,TAS1,TAS1,AETV Pty Ltd,AETV Pty Ltd,40.0,40.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
BBTHREE2,Bell Bay Three,Bell Bay Three,TAS1,TAS1,AETV Pty Ltd,AETV Pty Ltd,40.0,40.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
BBTHREE3,Bell Bay Three,Bell Bay Three,TAS1,TAS1,AETV Pty Ltd,AETV Pty Ltd,40.0,40.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
BDL01,Bairnsdale,Bairnsdale,VIC1,VIC1,Alinta DEBO,Alinta DEBO,47.0,47.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
BDL02,Bairnsdale,Bairnsdale,VIC1,VIC1,Alinta DEBO,Alinta DEBO,47.0,47.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
BDONGHYD,Burrendong,Burrendong,NSW1,NSW1,AGL Hydro Partnership,AGL Hydro Partnership,19.0,19.0,0.0,,Water,Hydro - Water,Fuel
BEER01,Baranduda Electrical Energy Reserve,Baranduda Electrical Energy Reserve,VIC1,VIC1, Birdwood Energy Reserve Pty Ltd (ACN 658 507 441) as Trustee for Birdwood Energy Reserve Trust, Birdwood Energy Reserve Pty Ltd (ACN 658 507 441) as Trustee for Birdwood Energy Reserve Trust,544.36,4.39,1800.0,1800.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
BERYLSF1,Beryl Solar Farm,Beryl Solar Farm,NSW1,NSW1,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust,98.4,1.64,0.0,0.0,Solar,Solar - Solar,"Capacity(MW), Fuel"
BHB1,Broken Hill,Broken Hill,NSW1,NSW1,MACQGEN,MACQGEN,50.0,50.0,50.0,50.0,Battery Storage,Other - Other,Fuel
BIRKBESS,Birkins Solar Farm - Storage - KCI,Birkins Solar Farm - Storage - KCI,VIC1,VIC1, FRV Services Australia Pty Ltd, FRV Services Australia Pty Ltd,199.5,3.5,400.0,400.0,Battery Storage,Solar - Solar,"Capacity(MW), Fuel"
BLOWERNG,Blowering,Blowering,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,80.0,80.0,0.0,,Water,Hydro - Water,Fuel
BLUEGSF1,Bluegrass Solar Farm,Bluegrass Solar Farm,QLD1,QLD1,X-Elio Australia Pty Ltd,X-Elio Australia Pty Ltd,148.0,148.0,0.0,,Solar,Solar - Solar,Fuel
BLUFF1,Hallett 5 The Bluff WF,Hallett 5 The Bluff WF,SA1,SA1,Eurus Energy,Eurus Energy,52.5,2.1,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BLYTHB1,Blyth BESS,Blyth BESS,SA1,SA1,Blyth Battery P/L as trustee for Blyth Battery Trust,Blyth Battery P/L as trustee for Blyth Battery Trust,200.0,3.13,400.0,400.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
BNGSF1,Bungala One Solar Farm,Bungala One Solar Farm,SA1,SA1,Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust,Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust,135.0,2.5,0.0,0.0,Solar,Solar - Solar,"Capacity(MW), Fuel"
BNGSF2,Bungala Two Solar Farm,Bungala Two Solar Farm,SA1,SA1,Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust,Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust,135.0,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
BOCOROC2,Boco Rock Wind Farm,Boco Rock Wind Farm,NSW1,NSW1,South Pacific Power Pty Ltd,South Pacific Power Pty Ltd,79.5,5.3,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BOCORWF1,Boco Rock Wind Farm,Boco Rock Wind Farm,NSW1,NSW1,South Pacific Power Pty Ltd,South Pacific Power Pty Ltd,113.0,1.6,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BODWF1,Bodangora Wind Farm,Bodangora Wind Farm,NSW1,NSW1,Bodangora Wind Farm Pty Ltd,Bodangora Wind Farm Pty Ltd,113.19,3.43,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BOLIVPS1,Bolivar Power Station,Bolivar Power Station,SA1,SA1,Iberdrola Australia Energy Markets Pty Limited,Iberdrola Australia Energy Markets Pty Limited,128.4,32.1,0.0,,OCGT,Fossil - Natural Gas Pipeline,"Capacity(MW), Fuel"
BOMENSF1,Bomen Solar Farm,Bomen Solar Farm,NSW1,NSW1,Spark Infrastructure Holdings No. 6 Pty Limited,Spark Infrastructure Holdings No. 6 Pty Limited,121.0,2.75,0.0,0.0,Solar,Solar - Solar,"Capacity(MW), Fuel"
BOWWBA1,Bolivar Waste Water Treatment,Bolivar Waste Water Treatment,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,3.08,3.08,5.04,5.04,Battery Storage,Other - Other,Fuel
BOWWPV1,Bolivar Waste Water Treatment,Bolivar Waste Water Treatment,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,8.25,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
BPLANDF1,Browns Plains,Browns Plains,QLD1,QLD1,EDL LFG (Qld) Pty Ltd,EDL LFG (Qld) Pty Ltd,2.1799999999999997,1.03,0.0,,Other,Other - Other,"Capacity(MW), Fuel"
BRAEMAR1,Braemar,Braemar,QLD1,QLD1,Braemar Power Project Pty Ltd,Braemar Power Project Pty Ltd,188.0,188.0,0.0,,OCGT,Fossil - Coal Seam Methane,Fuel
BRAEMAR2,Braemar,Braemar,QLD1,QLD1,Braemar Power Project Pty Ltd,Braemar Power Project Pty Ltd,188.0,188.0,0.0,,OCGT,Fossil - Coal Seam Methane,Fuel
BRAEMAR3,Braemar,Braemar,QLD1,QLD1,Braemar Power Project Pty Ltd,Braemar Power Project Pty Ltd,188.0,188.0,0.0,,OCGT,Fossil - Coal Seam Methane,Fuel
BRAEMAR5,Braemar 2 Power Station,Braemar 2 Power Station,QLD1,QLD1,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,173.0,173.0,0.0,,OCGT,Fossil - Coal Seam Methane,Fuel
BRAEMAR6,Braemar 2 Power Station,Braemar 2 Power Station,QLD1,QLD1,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,173.0,173.0,0.0,,OCGT,Fossil - Coal Seam Methane,Fuel
BRAEMAR7,Braemar 2 Power Station,Braemar 2 Power Station,QLD1,QLD1,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,173.0,173.0,0.0,,OCGT,Fossil - Coal Seam Methane,Fuel
BROKENH1,Broken Hill Solar Plant,Broken Hill Solar Plant,NSW1,NSW1,PARF Company 6 Pty Limited,PARF Company 6 Pty Limited,53.0,1.33,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
BROOKLYN,Brooklyn LFG U1-3,Brooklyn LFG U1-3,VIC1,VIC1,EDL LFG Vic Pty Ltd,EDL LFG Vic Pty Ltd,2.83,2.83,0.0,,Other,Other - Other,Fuel
BROWNMT,Brown Mountain Hydro Power Station,Brown Mountain Hydro Power Station,NSW1,NSW1,Cochrane Dam Pty Ltd,Cochrane Dam Pty Ltd,5.0,5.0,0.0,,Water,Hydro - Water,Fuel
BRYB1WF1,Berrybank Wind Farm,Berrybank Wind Farm,VIC1,VIC1,Berrbank Development Pty ltd,Berrbank Development Pty ltd,180.6,4.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BRYB2WF2,Berrybank Wind Farm,Berrybank Wind Farm,VIC1,VIC1,Berrbank Development Pty ltd,Berrbank Development Pty ltd,109.2,4.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BULBES1,Bulgana Green Power Hub - BESS,Bulgana Green Power Hub - BESS,VIC1,VIC1,Bulgana Wind Farm Pty Ltd,Bulgana Wind Farm Pty Ltd,20.0,0.5,34.0,34.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
BULGANA1,Bulgana Green Power Hub - Wind Farm,Bulgana Green Power Hub - Wind Farm,VIC1,VIC1,Bulgana Wind Farm Pty Ltd,Bulgana Wind Farm Pty Ltd,204.4,3.65,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
BURRIN,Burrinjuck,Burrinjuck,NSW1,NSW1,GSP Energy Pty Ltd,GSP Energy Pty Ltd,34.0,20.0,0.0,0.0,Water,Hydro - Water,"Capacity(MW), Fuel"
BUTLERSG,Butlers Gorge,Butlers Gorge,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,14.399999999999999,12.2,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
BW01,Bayswater,Bayswater,NSW1,NSW1,AGL Macquarie Pty Limited,AGL Macquarie Pty Limited,660.0,660.0,0.0,,Coal,Fossil - Black Coal,Fuel
BW02,Bayswater,Bayswater,NSW1,NSW1,AGL Macquarie Pty Limited,AGL Macquarie Pty Limited,685.0,685.0,0.0,,Coal,Fossil - Black Coal,Fuel
BW03,Bayswater,Bayswater,NSW1,NSW1,AGL Macquarie Pty Limited,AGL Macquarie Pty Limited,685.0,685.0,0.0,,Coal,Fossil - Black Coal,Fuel
BW04,Bayswater,Bayswater,NSW1,NSW1,AGL Macquarie Pty Limited,AGL Macquarie Pty Limited,685.0,685.0,0.0,,Coal,Fossil - Black Coal,Fuel
BWTR1,Broadwater,Broadwater,NSW1,NSW1,Cape Byron Management PTY LTD,Cape Byron Management PTY LTD,38.0,38.0,0.0,,Biomass,Renewable Biomass or Waste - Biomass,Fuel
CALL_B_1,Callide B,Callide B,QLD1,QLD1,CS Energy,CS Energy,350.0,350.0,0.0,,Coal,Fossil - Black Coal,Fuel
CALL_B_2,Callide B,Callide B,QLD1,QLD1,CS Energy,CS Energy,350.0,350.0,0.0,,Coal,Fossil - Black Coal,Fuel
CAPBES1,Capital Battery,Capital Battery,NSW1,NSW1,Capital Battery Pty Ltd,Capital Battery Pty Ltd,100.32,3.04,200.0,200.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
CAPTL_WF,Capital Wind Farm,Capital Wind Farm,NSW1,NSW1,Renewable Power Ventures Pty Ltd,Renewable Power Ventures Pty Ltd,140.7,2.1,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CATHROCK,Cathedral Rocks,Cathedral Rocks,SA1,SA1,JV Cathedral Rock Investments Pty Ltd  - Acciona Energy Australia Global Pty Ltd and EnergyAustralia Pty Ltd,JV Cathedral Rock Investments Pty Ltd  - Acciona Energy Australia Global Pty Ltd and EnergyAustralia Pty Ltd,62.0,2.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CBWF1,Coonooer Bridge Wind Farm,Coonooer Bridge Wind Farm,VIC1,VIC1,Coonooer Bridge Wind Farm Pty Ltd,Coonooer Bridge Wind Farm Pty Ltd,19.8,3.3,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CBWWBA1,Christies Beach Wastewater Treatment Plant,Christies Beach Wastewater Treatment Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,2.16,2.16,4.32,4.32,Battery Storage,Other - Other,Fuel
CBWWPV1,Christies Beach Wastewater Treatment Plant,Christies Beach Wastewater Treatment Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,3.0,3.0,0.0,,Solar,Solar - Solar,Fuel
CESF1,Capital East Solar Farm P1,Capital East Solar Farm P1,NSW1,NSW1,IBERDROLA AUSTRALIA HOLDINGS PTY LIMITED,IBERDROLA AUSTRALIA HOLDINGS PTY LIMITED,2.0,0.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
CETHANA,Cethana,Cethana,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,85.0,85.0,0.0,,Water,Hydro - Water,Fuel
CG1,Colongra,Colongra,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,181.0,181.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
CG2,Colongra,Colongra,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,181.0,181.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
CG3,Colongra,Colongra,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,181.0,181.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
CG4,Colongra,Colongra,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,181.0,181.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
CHBESS1,Chinchilla BESS,Chinchilla BESS,QLD1,QLD1,CSE BESS Pty Ltd,CSE BESS Pty Ltd,100.0,100.0,200.0,200.0,Battery Storage,Other - Other,Fuel
CHILDSF1,Childers Solar Farm,Childers Solar Farm,QLD1,QLD1,Childers Solar Pty Ltd as trustee for the Childers Solar Trust,Childers Solar Pty Ltd as trustee for the Childers Solar Trust,64.38,1.74,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
CHPSTWF1,Chepstowe Wind Farm - VIC,Chepstowe Wind Farm - VIC,VIC1,VIC1,Chepstowe Wind Farm Pty Ltd,Chepstowe Wind Farm Pty Ltd,6.15,2.05,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CHYTWF1,Cherry Tree Wind Farm,Cherry Tree Wind Farm,VIC1,VIC1,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust,57.6,3.6,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CLARESF1,Clare Solar Farm,Clare Solar Farm,QLD1,QLD1,Clare Asset Co Pty Ltd ATF Clare Asset Trust,Clare Asset Co Pty Ltd ATF Clare Asset Trust,110.4,1.6,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
CLAYTON,Clayton,Clayton,VIC1,VIC1,EDL LFG Vic Pty Ltd,EDL LFG Vic Pty Ltd,12.0,1.0,0.0,,Biomass,Renewable Biomass or Waste - Landfill Gas,"Capacity(MW), Fuel"
CLEMGPWF,Clements Gap Wind Farm,Clements Gap Wind Farm,SA1,SA1,Pacific Hydro Clements Gap Pty Ltd,Pacific Hydro Clements Gap Pty Ltd,56.7,2.1,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CLERMSF1,Clermont Solar Farm,Clermont Solar Farm,QLD1,QLD1,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust,92.5,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
CLOVER,Clover,Clover,VIC1,VIC1,AGL Hydro Partnership,AGL Hydro Partnership,29.0,14.5,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
CLRKCWF1,Clarke Creek Wind Farm,Clarke Creek Wind Farm,QLD1,QLD1,Squadron Energy Services Pty Ltd,Squadron Energy Services Pty Ltd,346.5,4.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CLRKCWF2,Clarke Creek Wind Farm,Clarke Creek Wind Farm,QLD1,QLD1,Squadron Energy Services Pty Ltd,Squadron Energy Services Pty Ltd,103.5,4.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CLUNY,Cluny,Cluny,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,19.0,19.0,0.0,,Water,Hydro - Water,Fuel
CNUNDAWF,Canunda,Canunda,SA1,SA1,Canunda Power Pty Ltd,Canunda Power Pty Ltd,46.0,2.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
CODRNGTON,Codrington Wind Farm,Codrington Wind Farm,VIC1,VIC1,Energy Pacific (Vic) Pty Ltd,Energy Pacific (Vic) Pty Ltd,18.2,1.3,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
